,DATE,Miscellaneous goods and services,Insurance and financial services,Restaurants and hotels,Education,Recreation and culture,Communication,Transport,Health,"Furnishings, household equipment and routine household maintenance","Housing, water, electricity, gas and other fuels",Clothing and footwear,Tobacco,Food and beverages,General Index
0,2018-01-01,119.29635820051159,100,117.79883173564929,118.16223486845362,93.21600832932504,105.72141895771583,112.24801750318815,102.74117707476248,110.24256340344643,111.38797054266215,115.97982302779064,172.38478584067602,106.51928134894675,111.59150600089183
1,2018-02-01,119.63388500045373,100,117.82260576464532,118.16223486845362,91.93239147306797,105.79649825971971,112.75458588063326,102.7457385761175,112.13288866557976,111.00801584106092,114.85531676930327,172.38478584067602,105.84294988992858,111.43308330205028
2,2018-03-01,118.81240417345988,100,117.69870287353335,118.16223486845362,91.1681853176223,105.77716482846706,111.93329108208465,102.7282349026538,112.2584208184667,110.55468214335443,115.84093744544313,172.38478584067602,105.51114123505236,111.05933222319887
3,2018-04-01,119.23628476779275,100,117.58229952449749,118.16209327124105,92.40119313760977,105.66719447208193,110.6987542459253,102.73551451949487,112.10994143089661,110.08933688028199,115.19560754119571,172.29692706527015,105.20473321224102,110.70828793855752
4,2018-05-01,118.3352230916217,100,117.20764943066098,118.16209327124105,92.6935042700884,105.50080829359563,113.27510285566025,102.73551451949487,112.12415196846572,109.62202223288078,115.19560754119571,172.29867399446258,105.17861580613331,110.70758881414989
5,2018-06-01,117.7780134362917,100,117.09748581890847,118.16209327124105,92.04147971604132,105.40070810132075,117.75122816857375,102.7490200204529,112.15340897579593,109.15004316626454,107.15431883792974,172.29867399446258,106.33290447934283,110.90874022489663
6,2018-07-01,117.7852911376988,100,118.10156604145645,118.16209327124105,94.36242029782863,105.436979167781,118.21824961141925,102.33039780477206,112.78557384933868,108.53753163735433,107.15431883792974,177.3267108401546,106.35906079116964,110.82906419822606
7,2018-08-01,117.30548308018038,100,118.1385751344797,118.16209327124105,96.73177123146917,105.60346431204817,122.92179258565619,102.33039780477206,112.8606155550603,107.88556276130883,107.15431883792974,177.3267108401546,106.17290751043329,111.0611171161932
8,2018-09-01,117.13372315354087,100,118.06877679478944,118.19230871391768,90.2948473956528,105.63558763979582,117.70583292157713,102.31575650974212,112.81399157832534,107.28598805059073,106.15756949911301,177.3267108401546,106.58345846183694,110.11870519879479
9,2018-10-01,114.02965275259838,100,118.41965910337684,118.19230871391768,91.76690032677125,105.48255113764311,117.06110487727908,102.31575650974212,113.4454649890239,106.62932783217573,106.15756949911301,177.3267108401546,107.31573395482346,109.74881527868412
10,2018-11-01,114.52586862495448,100,118.58101271117063,118.19230871391768,90.61216267859098,105.44965123940887,117.0908844419783,102.31575650974212,113.3315945885996,105.95123399889528,104.86416570368202,177.3267108401546,107.3970993706719,109.44187690723821
11,2018-12-01,114.45568113746776,100,120.46571384166546,118.19230871391768,97.48227967030309,105.43188286678995,113.01480496803661,102.38976801147659,113.55818076689475,105.32897652005089,108.74096940529918,177.3267108401546,106.62060230660863,108.9549931144209
12,2019-01-01,119.29635820051159,100,117.79883173564929,118.16223486845362,93.21600832932504,105.72141895771583,112.24801750318815,102.74117707476248,110.24256340344643,111.38797054266215,115.97982302779064,172.38478584067602,106.51928134894675,111.59150600089183
13,2019-02-01,119.63388500045373,100,117.82260576464532,118.16223486845362,91.93239147306797,105.79649825971971,112.75458588063326,102.7457385761175,112.13288866557976,111.00801584106092,114.85531676930327,172.38478584067602,105.84294988992858,111.43308330205028
14,2019-03-01,118.81240417345988,100,117.69870287353335,118.16223486845362,91.1681853176223,105.77716482846706,111.93329108208465,102.7282349026538,112.2584208184667,110.55468214335443,115.84093744544313,172.38478584067602,105.51114123505236,111.05933222319887
15,2019-04-01,119.23628476779275,100,117.58229952449749,118.16209327124105,92.40119313760977,105.66719447208193,110.6987542459253,102.73551451949487,112.10994143089661,110.08933688028199,115.19560754119571,172.29692706527015,105.20473321224102,110.70828793855752
16,2019-05-01,118.3352230916217,100,117.20764943066098,118.16209327124105,92.6935042700884,105.50080829359563,113.27510285566025,102.73551451949487,112.12415196846572,109.62202223288078,115.19560754119571,172.29867399446258,105.17861580613331,110.70758881414989
17,2019-06-01,117.7780134362917,100,117.09748581890847,118.16209327124105,92.04147971604132,105.40070810132075,117.75122816857375,102.7490200204529,112.15340897579593,109.15004316626454,107.15431883792974,172.29867399446258,106.33290447934283,110.90874022489663
18,2019-07-01,117.7852911376988,100,118.10156604145645,118.16209327124105,94.36242029782863,105.436979167781,118.21824961141925,102.33039780477206,112.78557384933868,108.53753163735433,107.15431883792974,177.3267108401546,106.35906079116964,110.82906419822606
19,2019-08-01,117.30548308018038,100,118.1385751344797,118.16209327124105,96.73177123146917,105.60346431204817,122.92179258565619,102.33039780477206,112.8606155550603,107.88556276130883,107.15431883792974,177.3267108401546,106.17290751043329,111.0611171161932
20,2019-09-01,117.13372315354087,100,118.06877679478944,118.19230871391768,90.2948473956528,105.63558763979582,117.70583292157713,102.31575650974212,112.81399157832534,107.28598805059073,106.15756949911301,177.3267108401546,106.58345846183694,110.11870519879479
21,2019-10-01,114.02965275259838,100,118.41965910337684,118.19230871391768,91.76690032677125,105.48255113764311,117.06110487727908,102.31575650974212,113.4454649890239,106.62932783217573,106.15756949911301,177.3267108401546,107.31573395482346,109.74881527868412
22,2019-11-01,114.52586862495448,100,118.58101271117063,118.19230871391768,90.61216267859098,105.44965123940887,117.0908844419783,102.31575650974212,113.3315945885996,105.95123399889528,104.86416570368202,177.3267108401546,107.3970993706719,109.44187690723821
23,2019-12-01,114.45568113746776,100,120.46571384166546,118.19230871391768,97.48227967030309,105.43188286678995,113.01480496803661,102.38976801147659,113.55818076689475,105.32897652005089,108.74096940529918,177.3267108401546,106.62060230660863,108.9549931144209
24,2020-01-01,115.07530905097782,100,121.04097765900576,120.15001338874751,92.67222110915468,105.54835087606827,110.46446806465372,102.49949716898061,113.82594529963627,99.23895357711116,100.45054302133869,203.4599013095328,107.14535165642609,106.14737368543751
25,2020-02-01,114.56226995260803,100,120.81935666470103,120.15001338874751,88.5696565736528,105.55178239885674,109.90696183686599,102.49949716898061,113.90966661798956,98.81634231750563,100.45054302133869,203.44050566659436,107.28619181169317,105.79208425951971
26,2020-03-01,114.11319156123821,100,120.71141595093789,120.15001338874751,84.27346575198173,105.60038028949646,106.44517891173504,102.49949716898061,113.82989715257901,97.50367986867076,100.45054302133869,203.6330753407301,109.97414283051397,105.07394579682679
27,2020-04-01,114.64445441259055,100,120.55348383893426,120.40685885526206,84.4146129931362,105.53278391318266,97.5036986456452,102.49949716898061,113.81811984717234,96.6746217404037,100.45054302133869,203.6330753407301,110.941929990769,103.93384441989475
28,2020-05-01,114.71039089534032,100,120.25718036294893,120.40685885526206,84.16230222693365,105.4700078081996,100.85809224911995,102.49949716898061,113.9535857980134,96.23298861841936,100.45054302133869,203.6330753407301,110.70739015701338,104.05459838056758
29,2020-06-01,115.69583187695194,100,120.19954829140246,120.40685885526206,84.01218412511142,105.43271524945466,100.96675292257645,102.49949716898061,114.08647885605632,96.498055949796,100.45054302133869,203.65715313102584,110.61782678649476,104.22288753849745
30,2020-07-01,116.02512130190539,100,120.20094531427121,120.40685885526206,83.93312061168676,105.38746233676,101.78984141566328,102.53920691465677,113.55184545162147,96.2256036370934,100.4221120558538,203.65715313102584,110.06485567354147,104.11318116959045
31,2020-08-01,113.64651641450988,100,120.18663883141774,120.40685885526206,84.44973088879479,105.40444833866943,102.53862257011754,102.54445262011573,113.52606545740262,95.48318478106987,100.4221120558538,203.7127217465786,110.33819657103004,103.78225467720938
32,2020-09-01,112.82813812045289,100,120.25404561436139,120.58059638639114,84.54468246333448,105.40526194931799,101.970372430476,102.54445262011573,113.74156315149722,94.70281500411987,100.47944295113089,203.6881607417557,109.97333538426179,103.316497427111
33,2020-10-01,114.94824834098674,100,121.4322695173454,120.58059638639114,83.67354692029106,105.67596337509744,102.4398846234696,102.5642338196895,114.41575098843559,93.48636329717522,105.5352676527581,203.6697589090475,109.31262591217661,103.03854214493695
34,2020-11-01,114.54374541642285,100,121.37554674601358,120.58059638639114,83.54520199183881,105.62172751948553,102.25446267753038,102.5642338196895,114.37671137049618,92.69689049148081,105.5352676527581,203.71569755911457,108.48358831987726,102.53378691959144
35,2020-12-01,115.342854805,100,121.44903546814962,120.58059638639114,83.34355524851512,105.65590726202716,103.93822136601835,102.5642338196895,114.41092200380507,91.4080988005014,105.5352676527581,203.71569755911457,108.07983464420138,102.14393771495611
36,2021-01-01,113.82766378370566,100,121.8081733796615,120.58059638639114,84.39371375147543,105.69035770393018,103.08263962497777,102.48988458366797,114.55849171569317,90.48074430898784,97.87219788325974,203.6604717409185,108.11153156750832,101.45595733856074
37,2021-02-01,116.23121073446727,100,121.78252435090843,120.58059638639114,83.57271849431048,105.69984482664381,102.42598106593215,102.48988458366797,114.58616548987828,89.78312548442553,97.87219788325974,203.64233275494112,106.82545089294662,101.03030788922457
38,2021-03-01,114.9060154087722,100,121.63920503710648,120.58059638639114,84.27240746876492,105.67530167287762,107.43579881864713,102.48988458366797,114.66336223929714,89.03753203505735,97.87219788325974,202.50047710243263,105.60787115195038,101.01141106127334
39,2021-04-01,114.73616901668969,100,121.53834914300856,120.58059638639114,84.93830032591472,105.73552976073353,110.04305021041583,102.4535254122055,114.4738223512305,88.53737520613261,103.36562013013688,202.51857652593168,105.66551675497695,101.18777465581066
40,2021-05-01,115.10765014759721,100,121.54012340877227,120.58059638639114,83.4309736004736,105.7065326553944,110.2669515113754,102.4535254122055,114.34530546540738,88.12867796981753,103.36562013013688,202.51857652593168,106.61354635423545,101.13685503519233
41,2021-06-01,115.72864169777735,100,121.50147317648134,120.58059638639114,83.28685656964502,105.66777411353985,112.0309464180754,102.4535254122055,114.31860828238212,87.72867279337027,103.36562013013688,202.50923790477745,107.4463766978909,101.28574141049951
42,2021-07-01,113.79015898993316,100,121.57595203460619,120.58059638639114,84.20258682406111,105.62743948836425,116.31735391045966,102.63708213682123,114.58166138068128,87.33748042072216,100.42586594800507,202.50923790477745,108.4052887682849,101.56021815078819
43,2021-08-01,115.32029963137325,100,121.61938340654577,120.58059638639114,84.42824917623442,105.65215918664519,117.23347140895521,102.6572030958083,115.07048270918696,86.98854551241462,100.42586594800507,202.4851601144817,109.86590891300033,101.80939094926993
44,2021-09-01,115.78867467755028,100,121.73134338492846,120.58059638639114,84.84418253103581,105.64427013269069,116.08219254050267,102.6572030958083,115.10620045059166,86.6839800538513,100.31465848537708,202.4878957235223,111.23927302915337,101.77318443506773
45,2021-10-01,115.5275566458513,100,123.01000188925515,120.58059638639114,88.46887830714844,105.9243692071853,119.68700244143649,103.7237284224564,115.17220355344573,86.41000662945648,101.2871140821932,205.16277654264593,113.12982273040461,102.46038801054813
46,2021-11-01,115.98132473813219,100,124.08883756130132,120.58059638639114,88.78655588138197,105.96894059344184,124.90644907314127,103.7237284224564,115.211954083108,86.46327380064689,101.2871140821932,205.27916213643195,113.27429379414863,103.13734898471742
47,2021-12-01,115.63761628828475,100,124.3344752138787,120.58059638639114,92.76641007155982,106.00275617611179,125.40566603030985,103.75016482920074,115.51797843401481,86.32874685442535,101.2871140821932,205.26680394454678,113.29916668403159,103.23162891713496
48,2022-01-01,115.20497851548849,106.4,129.2628335904968,120.58059638639114,83.92110895446716,107.04319428254048,109.62838724116385,102.8485991797108,115.440592101904,89.72975413122323,100.31900283034123,204.9028006185381,112.32788129864115,102.916923124236
49,2022-02-01,117.63760838435432,106.4,128.8702672681313,120.58059638639114,85.31938831084157,107.23249257663015,113.27289246081436,102.8485991797108,115.57160651309123,89.09179541819545,100.31900283034123,204.88455098474628,110.98096093268225,102.95998676990875
50,2022-03-01,116.8709082722622,106.31,127.98877154004343,120.58059638639114,94.22497879082606,107.20759354713435,125.94698695510004,102.8485991797108,115.59213547343545,88.44988432362598,100.31900283034123,203.73573001275744,109.31470742938383,103.78922486545835
51,2022-04-01,116.76699920828509,106.4,126.71588281650072,120.99057041410488,102.99618297520419,107.25812138928808,137.080627647115,102.98628374434897,116.28250874437994,88.13010328018441,107.64495680352455,203.75393984273987,111.07559121283177,105.24540441950867
52,2022-05-01,117.82419069108052,106.4,127.03373698684878,120.99057041410488,99.69167035520591,107.17585345930438,135.99223129897928,102.98628374434897,116.68938422744823,87.8554790681111,107.64495680352455,203.75393984273987,113.02102049012501,105.26323872062818
53,2022-06-01,119.443531096276,106.02,125.54747223325816,120.99057041410488,109.99695147153017,107.13655617371805,147.10783574157483,102.98628374434897,117.10798232447223,87.69358132425292,107.64495680352455,203.7445442559966,115.24698364615779,106.70452857596123
54,2022-07-01,117.45420210940901,106.02,127.73985280276071,120.99057041410488,119.22244268418814,107.10622364120135,164.8798491680766,103.2221135050011,117.60661724113126,87.59949286198433,104.58349679825247,202.08396850517744,117.12107398525502,108.5577171813775
55,2022-08-01,119.27578590872936,106.02,127.3963041183567,120.99057041410488,114.15543571118657,107.08902855158357,153.39999733861788,103.2423491534544,118.13135754925133,87.80623784023132,106.35099203893736,202.05994127824127,118.94083298921416,108.00958285808046
56,2022-09-01,120.01496130328087,106.02,128.93783891331623,121.52112503820499,111.75675722988036,107.1127254875351,139.92547488832193,103.2423491534544,118.5018333638841,87.94089776463215,106.53416731147047,197.12196648684898,120.79472658235765,107.29946834989192
57,2022-10-01,119.87139277573532,106.23,134.0686010590992,121.52112503820499,114.02753725008363,107.14249945306793,137.13736739739792,104.31495367446439,118.66192132111513,88.18141176536034,107.5669151552892,201.3057163436442,123.15312502431846,107.86005045870401
58,2022-11-01,120.44660574055028,106.41,138.3466449970948,121.52112503820499,111.31170510848858,107.20877719838512,149.40060373638428,104.38756028436013,119.22133008520015,88.74590422898396,109.3090535175029,201.41991388826705,122.73269732596003,109.42872727278518
59,2022-12-01,120.3671947944756,106.41,139.602748770143,121.52112503820499,122.29395839733732,107.14758594281379,152.7064795251083,104.41416588410762,119.98852419941119,89.03946950565431,109.3090535175029,199.8272336400163,122.57836843545378,110.15847121747471
